,Date,Unemployment
0,0,3.4
1,1,3.8
2,2,4.0
3,3,3.9
4,4,3.5
5,5,3.6
6,6,3.6
7,7,3.9
8,8,3.8
9,9,3.7
10,10,3.8
11,11,4.0
12,12,4.3
13,13,4.7
14,14,5.0
15,15,5.3
16,16,6.1
17,17,6.2
18,18,6.7
19,19,6.8
20,20,6.6
21,21,7.9
22,22,6.4
23,23,6.6
24,24,6.5
25,25,6.4
26,26,6.3
27,27,5.8
28,28,5.5
29,29,5.4
30,30,5.0
31,31,4.5
32,32,4.4
33,33,4.2
34,34,4.2
35,35,4.3
36,36,3.7
37,37,3.4
38,38,3.4
39,39,3.1
40,40,3.0
41,41,3.2
42,42,3.1
43,43,3.1
44,44,3.3
45,45,3.5
46,46,3.5
47,47,3.1
48,48,3.2
49,49,3.1
50,50,2.9
51,51,2.9
52,52,3.0
53,53,3.0
54,54,3.2
55,55,3.4
56,56,3.1
57,57,3.0
58,58,2.8
59,59,2.7
60,60,2.9
61,61,2.6
62,62,2.6
63,63,2.7
64,64,2.5
65,65,2.5
66,66,2.6
67,67,2.7
68,68,2.9
69,69,3.1
70,70,3.5
71,71,4.5
72,72,4.9
73,73,5.2
74,74,5.7
75,75,5.9
76,76,5.9
77,77,5.6
78,78,5.8
79,79,6.0
80,80,6.1
81,81,5.7
82,82,5.3
83,83,5.0
84,84,4.9
85,85,4.7
86,86,4.6
87,87,4.7
88,88,4.3
89,89,4.2
90,90,4.0
91,91,4.2
92,92,4.1
93,93,4.3
94,94,4.2
95,95,4.2
96,96,4.0
97,97,3.9
98,98,4.2
99,99,4.0
100,100,4.3
101,101,4.3
102,102,4.4
103,103,4.1
104,104,3.9
105,105,3.9
106,106,4.3
107,107,4.2
108,108,4.2
109,109,3.9
110,110,3.7
111,111,3.9
112,112,4.1
113,113,4.3
114,114,4.2
115,115,4.1
116,116,4.4
117,117,4.5
118,118,5.1
119,119,5.2
120,120,5.8
121,121,6.4
122,122,6.7
123,123,7.4
124,124,7.4
125,125,7.3
126,126,7.5
127,127,7.4
128,128,7.1
129,129,6.7
130,130,6.2
131,131,6.2
132,132,6.0
133,133,5.9
134,134,5.6
135,135,5.2
136,136,5.1
137,137,5.0
138,138,5.1
139,139,5.2
140,140,5.5
141,141,5.7
142,142,5.8
143,143,5.3
144,144,5.2
145,145,4.8
146,146,5.4
147,147,5.2
148,148,5.1
149,149,5.4
150,150,5.5
151,151,5.6
152,152,5.5
153,153,6.1
154,154,6.1
155,155,6.6
156,156,6.6
157,157,6.9
158,158,6.9
159,159,7.0
160,160,7.1
161,161,6.9
162,162,7.0
163,163,6.6
164,164,6.7
165,165,6.5
166,166,6.1
167,167,6.0
168,168,5.8
169,169,5.5
170,170,5.6
171,171,5.6
172,172,5.5
173,173,5.5
174,174,5.4
175,175,5.7
176,176,5.6
177,177,5.4
178,178,5.7
179,179,5.5
180,180,5.7
181,181,5.9
182,182,5.7
183,183,5.7
184,184,5.9
185,185,5.6
186,186,5.6
187,187,5.4
188,188,5.5
189,189,5.5
190,190,5.7
191,191,5.5
192,192,5.6
193,193,5.4
194,194,5.4
195,195,5.3
196,196,5.1
197,197,5.2
198,198,4.9
199,199,5.0
200,200,5.1
201,201,5.1
202,202,4.8
203,203,5.0
204,204,4.9
205,205,5.1
206,206,4.7
207,207,4.8
208,208,4.6
209,209,4.6
210,210,4.4
211,211,4.4
212,212,4.3
213,213,4.2
214,214,4.1
215,215,4.0
216,216,4.0
217,217,3.8
218,218,3.8
219,219,3.8
220,220,3.9
221,221,3.8
222,222,3.8
223,223,3.8
224,224,3.7
225,225,3.7
226,226,3.6
227,227,3.8
228,228,3.9
229,229,3.8
230,230,3.8
231,231,3.8
232,232,3.8
233,233,3.9
234,234,3.8
235,235,3.8
236,236,3.8
237,237,4.0
